id	name	address
160	Ajax, ON	250 Kingston Road East, Ajax, ON, L1Z 1G1
324	Pickering, ON	1735 Pickering Parkway, Pickering, ON, L1V 7C7
102	Sturgeon Falls, ON	12011 Hwy 17 East, Sturgeon Falls, ON, P2B 2S7
134	Keswick, ON	24270 Woodbine Avenue, Keswick, ON, L4P 0L3
427	Scarborough East, ON	111 Rylander Blvd., Scarborough, ON, M1B 4X3
280	Stouffville, ON	1090 Hoover Park Drive, Stouffville, ON, L4A 0K2
399	Markham East, ON	7650 Markham Road, Markham, ON, L3S 4S1
93	Edmundston, NB	590 Victoria Street, Edmundston, NB, E3V 3N1
687	Innisfil, ON	1455 Innisfil Beach Road, Innisfil, ON, L9S 4B2
175	Scarborough, ON	3553 Lawrence Avenue East, Scarborough, ON, M1H 1B2
89	Rouyn, QC	245, boul. Rideau, Rouyn-Noranda, QC, J9X 5Y6
78	Parry Sound, ON	30 Pine Drive, Parry Sound, ON, P2A 3B8
264	Agincourt, ON	4630 Sheppard Avenue East, Scarborough, ON, M1S 3V5
189	Aurora, ON	15400 Bayview Avenue, Aurora, ON, L4G 7J1
69	Newmarket, ON	17750 Yonge Street, Newmarket, ON, L3Y 8P4
209	Kingston Rd, ON	2850 Kingston Road, Scarborough, ON, M1M 1M7
164	Markham, ON	2900 Major Mackenzie Drive East, Markham, ON, L6C 0G6
6	Barrie, ON	320 Bayfield Street, Barrie, ON, L4M 3C1
68	New Liskeard, ON	997431 Hwy 11 North, New Liskeard, ON, P0J 1P0
444	Barrie South, ON	75 Mapleview Drive West, Barrie, ON, L4N 9H7
30	Warden & Eglinton, ON	1901 Eglinton Avenue East, Scarborough, ON, M1L 2L8
61	Midland, ON	9303 County Road 93, Hugel Avenue, Midland, ON, L4R 4K4
446	Bradford, ON	430 Holland Street West, Bradford, ON, L3Z 0G1
697	Richmond Hill North, ON	11720 Yonge Street, Richmond Hill, ON, L4E 0K4
87	Richmond Hill, ON	250 Silver Linden Drive, Richmond Hill, ON, L4B 4W7
273	Toronto Main & Danforth, ON	2681 Danforth Avenue, Toronto, ON, M4C 1L4
192	Sheppard Ave., ON	1019 Sheppard Avenue East, Toronto, ON, M2K 1C2
126	Yonge & Steeles, ON	6310 Yonge Street, Toronto, ON, M2M 3X4
459	Eglinton & Laird, ON	825 Eglinton Avenue East, Toronto, ON, M4G 4G9
654	Leslie & Lake Shore, ON	1025 Lake Shore Blvd. East, Toronto, ON, M4M 1B4
321	Dufferin & 407, ON	8081 Dufferin Street, Thornhill, ON, L4J 8R9
150	Toronto, Yonge & Church, ON	839 Yonge Street, Toronto, ON, M4W 2H2
485	Dufferin & Finch Auto Ctr, ON	4400 Dufferin Street, North York, ON, M3H 6A8
600	Toronto Eaton Centre, ON	65 Dundas Street West, Toronto, ON, M5G 2C3
19	Lawrence & Allen Expwy, ON	700 Lawrence Avenue West, Toronto, ON, M6A 3B4
653	Maple, ON	3200 Rutherford Road, Vaughan, ON, L4K 5R3
621	Liberty Village, ON	5 Joe Shuster Way, Toronto, ON, M6K 0C7
214	Eglinton & Caledonia, Toronto, ON	2360 Eglinton Avenue West, Toronto, ON, M6M 1S6
237	Woodbridge, ON	3850 Highway 7, Woodbridge, ON, L4L 9C3
182	West Toronto (Stockyards), ON	2129 St. Clair Avenue West, Toronto, ON, M6N 5B4
119	Weston Road & 401, ON	2625B Weston Road, North York, ON, M9N 3W1
137	Woodstock, NB	388 Connell Street, Woodstock, NB, E7M 5G9
294	Etobicoke, Albion & Kipling, ON	1530 Albion Road, Etobicoke, ON, M9V 1B4
242	Rexdale, ON	2025 Kipling Avenue, Etobicoke, ON, M9W 4J8
1	Alliston, ON	110 Young Street, Alliston, ON, L9R 1P8
652	Wasaga Beach, ON	75 - 45th Street South, Wasaga Beach, ON, L9Z 1A7
197	Bolton, ON	99 McEwan Drive East, Bolton, ON, L7E 2Z7
219	Grand Falls, NB	383, chemin Madawaska, Grand Falls, NB, E3Y 1A4
70	The Queensway, ON	1608 The Queensway, Etobicoke, ON, M8Z 1V1
152	Miss. Dixie & Dundas, ON	1156 Dundas Street East, Mississauga, ON, L4Y 2C1
71	Niagara Falls North, ON	7190 Morrison Street, Niagara Falls, ON, L2E 7K5
305	Brampton Bramalea, ON	2850 Queen Street East, Brampton, ON, L6S 6E8
162	St. Catharines N., ON	459 Welland Avenue, St. Catharines, ON, L2M 5V2
33	Fort Erie, ON	240 Garrison Road, Fort Erie, ON, L2A 1M7
145	St. Catharines S., ON	300 Glendale Avenue, St. Catharines, ON, L2T 2L5
411	Brampton Trinity Common, ON	10 Great Lakes Drive, Brampton, ON, L6R 2K7
346	Miss.Mavis & Dundas, ON	3050 Mavis Road at Dundas, Mississauga, ON, L5C 1T8
108	Collingwood, ON	89 Balsam Street, Collingwood, ON, L9Y 3Y6
90	St. Catharines, ON	431 Louth Street, St. Catharines, ON, L2S 4A2
320	Rimouski, QC	419, boul. Jessop, Local 1, Rimouski, QC, G5L 7Y5
10	Brampton Shoppers World, ON	499 Main Street South, Brampton, ON, L6Y 1N7
497	Mississauga Heartland, ON	5970 Mavis Road, Mississauga, ON, L5V 2P5
241	Mississauga Southdown, ON	900 Southdown Road, Mississauga, ON, L5J 2Y4
675	Brampton McLaughlin Road, ON	10031 McLaughlin Road, Brampton, ON, L7A 2X5
424	Oak., Winston Churchill, ON	2510 Hyde Park Gate, Oakville, ON, L6H 6M2
233	La Sarre, QC	91, 2ieme rue Est, La Sarre, QC, J9Z 3J9
118	Welland, ON	158 Primeway Drive, Welland, ON, L3B 0A1
169	Meadowvale, ON	6670 Meadowvale Town Centre Circle, Mississauga, ON, L5N 4B7
429	Oakville North, ON	400 Dundas Street East, Oakville, ON, L6H 6Z9
143	Oakville, ON	1100 Kerr Street, Oakville, ON, L6M 0L4
159	Georgetown, ON	315 Guelph Street, Georgetown, ON, L7G 4B3
73	Orangeville, ON	99 First Street, Orangeville, ON, L9W 2E8
